groupName,groupSize,interactionStyle,studySchedule,sessionLength,groupGoals,engagementLevel,leadershipStyle,groupSupport
Mind Masters,Large (9+ members),Informal and spontaneous discussions,Afternoon sessions,Long (2+ hours),Enhancing understanding of specific topics,Low engagement (occasional study sessions),No formal leader (collaborative leadership),Peer accountability and motivation
The Study Ninjas,Small (2-4 members),Structured and goal-oriented sessions,Late morning sessions,Medium (1-2 hours),Preparing for upcoming exams,Flexible engagement (variable based on need),Rotational leadership (different leaders per session),Academic support and tutoring
Brainy Bandits,Large (9+ members),Structured and goal-oriented sessions,Afternoon sessions,Long (2+ hours),Developing study skills and habits,Moderate engagement (few times a week),Fixed leader (one consistent leader),Academic support and tutoring
Scholarly Squad,Small (2-4 members),Regular meetings with set agendas,Early morning sessions,Short (30-60 minutes),Preparing for upcoming exams,"High engagement (daily sessions, active participation)",Fixed leader (one consistent leader),Emotional support and stress management
The Learning Network,Medium (5-8 members),Informal and spontaneous discussions,Flexible scheduling,Long (2+ hours),Developing study skills and habits,Low engagement (occasional study sessions),No formal leader (collaborative leadership),Emotional support and stress management
Bookworms Collective,Large (9+ members),Structured and goal-oriented sessions,Afternoon sessions,Medium (1-2 hours),Completing specific assignments or projects,"High engagement (daily sessions, active participation)",Rotational leadership (different leaders per session),Academic support and tutoring
The Study Pioneers,Small (2-4 members),Informal and spontaneous discussions,Afternoon sessions,Short (30-60 minutes),Developing study skills and habits,"High engagement (daily sessions, active participation)",No formal leader (collaborative leadership),Academic support and tutoring
Academic Avengers,Small (2-4 members),Structured and goal-oriented sessions,Flexible scheduling,Medium (1-2 hours),Preparing for upcoming exams,Flexible engagement (variable based on need),Fixed leader (one consistent leader),Career advice and mentoring
Knowledge Keepers,Medium (5-8 members),Informal and spontaneous discussions,Flexible scheduling,Mixed (varying session lengths),Enhancing understanding of specific topics,Low engagement (occasional study sessions),Rotational leadership (different leaders per session),Emotional support and stress management
The Academic Allies,Small (2-4 members),Informal and spontaneous discussions,Late morning sessions,Long (2+ hours),Completing specific assignments or projects,Moderate engagement (few times a week),No formal leader (collaborative leadership),Peer accountability and motivation
Brainstorm Battalion,Medium (5-8 members),Informal and spontaneous discussions,Early morning sessions,Short (30-60 minutes),Developing study skills and habits,Moderate engagement (few times a week),Fixed leader (one consistent leader),Career advice and mentoring
Brainstormers United,Large (9+ members),Flexible and dynamic sessions,Flexible scheduling,Mixed (varying session lengths),Preparing for upcoming exams,"High engagement (daily sessions, active participation)",Rotational leadership (different leaders per session),Career advice and mentoring
The Brainy Bunch,Large (9+ members),Flexible and dynamic sessions,Afternoon sessions,Short (30-60 minutes),Enhancing understanding of specific topics,"High engagement (daily sessions, active participation)",No formal leader (collaborative leadership),Career advice and mentoring
The Learning League,Small (2-4 members),Informal and spontaneous discussions,Night sessions,Long (2+ hours),Completing specific assignments or projects,Low engagement (occasional study sessions),No formal leader (collaborative leadership),Peer accountability and motivation
